"length","memory"
2,5064
2,992
2,992
2,10880
2,4176
2,3208
2,824
2,824
2,824
3,1672
3,952
3,952
3,952
3,952
3,952
3,952
3,952
3,952
3,832
3,856
3,856
3,856
3,832
3,856
3,856
3,856
3,832
3,728
3,728
3,728
3,728
3,728
3,728
3,728
3,728
3,728
3,2184
3,1927
3,1824
3,1376
3,1376
3,1376
3,1376
3,1864
3,1376
3,1800
3,568
3,568
3,568
3,568
3,568
3,2168
3,1424
3,1352
6,624
6,680
6,680
6,680
6,624
6,680
6,680
6,680
6,624
6,1320
6,776
6,776
6,776
6,776
6,776
6,776
6,776
6,776
6,1744
6,1320
6,904
6,904
6,904
6,904
6,904
6,904
6,904
6,1920
6,1920
6,1712
6,1432
6,1920
6,1432
6,1432
6,1432
6,1432
3,7208
3,4616
3,4064
3,13785
3,8936
3,7832
3,3024
3,3024
3,3024
6,8936
6,7736
6,7800
6,7248
6,6696
6,6696
6,6696
6,6696
6,6696
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,3552
6,7800
6,7616
6,7064
6,7064
6,7864
6,7399
6,7312
6,7312
6,7312
3,824
3,824
3,824
3,824
3,824
3,824
3,824
3,824
3,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
6,824
4,952
4,952
4,952
4,952
4,952
4,952
4,952
4,952
4,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
4,952
4,952
4,952
4,952
4,952
4,952
4,952
4,952
4,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
4,2223
4,952
4,952
4,952
4,952
4,952
4,952
4,952
4,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
7,952
4,856
4,880
4,880
4,2432
4,2432
4,2432
4,1136
4,1136
4,1136
7,2400
7,2432
7,2432
7,2432
7,2464
7,2464
7,2432
7,2464
7,2464
7,1088
7,1144
7,1144
7,1144
7,1144
7,1192
7,1144
7,1192
7,1144
7,968
7,968
7,968
7,1016
7,1016
7,1064
7,1016
7,1064
7,1016
7,1688
7,2792
7,2792
7,2909
7,2888
7,2832
7,2824
7,2888
7,2888
4,880
4,856
4,880
4,2432
4,2432
4,2432
4,1136
4,1136
4,1136
7,2464
7,2432
7,2464
7,2432
7,2400
7,2432
7,2464
7,2432
7,2464
7,1144
7,1144
7,1192
7,1144
7,1088
7,1144
7,1192
7,1144
7,1144
7,1016
7,1016
7,1064
7,968
7,968
7,968
7,1064
7,1016
7,1016
7,2888
7,2824
7,2832
7,2792
7,1688
7,2792
7,2888
7,2824
7,2888
4,880
4,880
4,856
4,2432
4,2432
4,2432
4,1136
4,1136
4,1136
7,2464
7,2464
7,2432
7,2464
7,2464
7,2432
7,2432
7,2432
7,2400
7,1144
7,1192
7,1144
7,1192
7,1144
7,1144
7,1144
7,1144
7,1088
7,1016
7,1064
7,1016
7,1064
7,1016
7,1016
7,968
7,968
7,968
7,2888
7,2832
7,2824
7,2832
7,2888
7,2824
7,2792
7,2792
7,1688
4,728
4,704
4,752
4,728
4,752
4,728
4,2304
4,728
4,2304
4,728
4,2304
4,728
4,1008
4,1560
4,1008
4,1560
4,1008
4,1496
7,1032
7,728
7,1736
7,728
7,1736
7,728
7,1736
7,760
7,1776
7,760
7,1776
7,808
7,1736
7,760
7,1776
7,808
7,1776
7,760
7,968
7,776
7,968
7,2040
7,968
7,2592
7,1016
7,2040
7,1016
7,2080
7,1064
7,2080
7,1016
7,2040
7,1064
7,2136
7,1016
7,2136
7,840
7,2136
7,888
7,2176
7,888
7,2176
7,888
7,2168
7,888
7,2208
7,936
7,2208
7,888
7,2168
7,936
7,2208
7,888
7,2208
7,1560
7,2632
7,2104
7,2664
7,2104
7,2664
7,2104
7,2664
7,2152
7,2704
7,2144
7,2760
7,2104
7,2664
7,2152
7,2760
7,2152
7,2760
4,752
4,728
4,728
4,704
4,752
4,728
4,2304
4,728
4,2304
4,728
4,2304
4,728
4,1008
4,1560
4,1008
4,1560
4,1008
4,1496
7,1776
7,760
7,1736
7,760
7,1776
7,808
7,1736
7,728
7,1032
7,728
7,1736
7,728
7,1776
7,808
7,1736
7,760
7,1776
7,760
7,1016
7,2080
7,1016
7,2040
7,1064
7,2080
7,968
7,2040
7,968
7,776
7,968
7,2040
7,1064
7,2136
7,1016
7,2040
7,1016
7,2136
7,888
7,2208
7,888
7,2168
7,936
7,2208
7,888
7,2176
7,840
7,2136
7,888
7,2176
7,936
7,2208
7,888
7,2168
7,888
7,2208
7,2152
7,2704
7,2104
7,2664
7,2144
7,2760
7,2104
7,2664
7,1560
7,2632
7,2104
7,2664
7,2152
7,2760
7,2104
7,2664
7,2152
7,2760
4,728
4,728
4,728
4,728
4,728
4,704
4,728
4,728
4,728
4,728
4,728
4,728
4,728
4,1560
4,728
4,1560
4,728
4,1496
7,1840
7,760
7,728
7,808
7,728
7,760
7,728
7,808
7,728
7,760
7,728
7,760
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,2080
7,728
7,2080
7,728
7,2040
7,728
7,2080
7,728
7,2080
7,728
7,2040
7,728
7,2040
7,728
7,2040
7,728
7,776
7,728
7,2208
7,728
7,2208
7,728
7,2168
7,728
7,2208
7,728
7,2208
7,728
7,2168
7,728
7,2176
7,728
7,2176
7,728
7,2136
7,728
7,2704
7,728
7,2704
7,728
7,2664
7,728
7,2704
7,728
7,2704
7,728
7,2664
7,728
7,2664
7,728
7,2664
7,728
7,2632
4,1936
4,1936
4,1936
4,3120
4,3120
4,3120
4,1936
4,1936
4,1936
7,2760
7,2760
7,2760
7,2760
7,2768
7,2768
7,2760
7,2768
7,2768
7,2760
7,3016
7,3016
7,3016
7,2760
7,3190
7,3016
7,2760
7,2760
7,3112
7,2760
7,2760
7,3144
7,3184
7,2760
7,3144
7,3184
7,3184
7,3704
7,3096
7,3096
7,3096
7,3872
7,3136
7,3096
7,3144
7,3928
4,1936
4,1936
4,1936
4,3120
4,3120
4,3120
4,1936
4,1936
4,1936
7,2768
7,2760
7,2768
7,2760
7,2760
7,2760
7,2768
7,2760
7,2768
7,2760
7,3016
7,2760
7,3016
7,2760
7,3016
7,2760
7,3016
7,2760
7,3184
7,3144
7,2760
7,2760
7,3112
7,2760
7,3184
7,3144
7,3184
7,3872
7,3096
7,3136
7,3096
7,3704
7,3096
7,3144
7,3096
7,3928
4,1936
4,1936
4,1936
4,2352
4,2352
4,2352
4,2360
4,2360
4,2248
7,2760
7,2760
7,2760
7,2760
7,2760
7,2760
7,2760
7,2760
7,2760
7,3056
7,3056
7,3016
7,3056
7,3056
7,3016
7,3016
7,3016
7,2760
7,3184
7,3184
7,3144
7,3184
7,3184
7,3144
7,3152
7,3152
7,3112
7,3680
7,3680
7,3640
7,3680
7,3680
7,3640
7,3640
7,3640
7,3608
5,984
5,984
5,984
5,984
5,984
5,984
5,984
5,984
5,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
5,984
5,984
5,984
5,984
5,984
5,984
5,984
5,984
5,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
8,984
5,984
5,984
5,984
5,2552
5,2552
5,2552
5,1224
5,1224
5,1224
8,1384
8,1384
8,1384
8,1384
8,1384
8,1384
8,1384
8,1384
8,1384
8,1232
8,1288
8,1288
8,1288
8,1232
8,1288
8,1288
8,1288
8,1232
8,1112
8,1160
8,1160
8,1160
8,1112
8,1160
8,1160
8,1160
8,1112
8,1784
8,1784
8,1784
8,1784
8,1784
8,1784
8,1784
8,1784
8,1784
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
5,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2688
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
8,2568
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
5,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1240
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1480
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
8,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
11,1400
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
8,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
11,1304
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
8,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
11,1248
8,1128
8,1128
8,1128
8,2552
8,2552
8,2552
8,1224
8,1224
8,1224
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1232
11,1288
11,1288
11,1288
11,1232
11,1288
11,1288
11,1288
11,1232
11,1128
11,1160
11,1160
11,1160
11,1128
11,1160
11,1160
11,1160
11,1128
11,1784
11,1784
11,1784
11,1784
11,1784
11,1784
11,1784
11,1784
11,1784
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
8,1128
8,1128
8,1128
8,2552
8,2552
8,2552
8,1224
8,1224
8,1224
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1384
11,1232
11,1288
11,1288
11,1288
11,1232
11,1288
11,1288
11,1288
11,1232
11,1128
11,1160
11,1160
11,1160
11,1128
11,1160
11,1160
11,1160
11,1128
11,1784
11,1784
11,1784
11,1784
11,1784
11,1784
11,1784
11,1760
11,1760
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
8,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
11,1176
